frame_idx,time_sec,omega_z_rad_per_s,abs_omega_z_rad_per_s,surface_speed_cm_per_s,n_features_tracked,n_features_used,omega_std_rad_per_s
413,13.766667,-0.012285,0.012285,0.039311,25,25,0.045648
414,13.800000,0.466051,0.466051,1.491364,29,29,0.141153
415,13.833333,0.647950,0.647950,2.073440,32,32,0.207785
416,13.866667,0.494566,0.494566,1.582612,22,22,0.115002
417,13.900000,-0.062049,0.062049,0.198558,50,50,0.048923
418,13.933333,-0.214720,0.214720,0.687103,48,48,0.100095
419,13.966667,-0.492131,0.492131,1.574819,47,47,0.420395
420,14.000000,-0.041654,0.041654,0.133291,47,47,0.054767
421,14.033333,-0.070681,0.070681,0.226180,37,37,0.055959
422,14.066667,-0.139520,0.139520,0.446463,50,50,0.066569
423,14.100000,-0.023619,0.023619,0.075581,49,49,0.027018
424,14.133333,0.053836,0.053836,0.172274,49,49,0.060437
425,14.166667,0.020036,0.020036,0.064114,49,49,0.067491
426,14.200000,-0.160406,0.160406,0.513298,49,49,0.043005
427,14.233333,-0.015530,0.015530,0.049696,49,49,0.018912
428,14.266667,0.035615,0.035615,0.113970,49,49,0.033161
429,14.300000,0.059325,0.059325,0.189841,48,48,0.048450
