frame_idx,time_sec,omega_z_rad_per_s,abs_omega_z_rad_per_s,surface_speed_cm_per_s,n_features_tracked,n_features_used,omega_std_rad_per_s
353,11.766667,-0.004444,0.004444,0.014221,40,40,0.010760
354,11.800000,-0.010720,0.010720,0.034305,39,39,0.011678
355,11.833333,-0.005967,0.005967,0.019093,38,38,0.017025
356,11.866667,-0.015212,0.015212,0.048679,48,48,0.019535
357,11.900000,-0.005768,0.005768,0.018459,44,44,0.019180
358,11.933333,-0.003623,0.003623,0.011592,42,42,0.019726
359,11.966667,-0.005459,0.005459,0.017469,42,42,0.033002
360,12.000000,-0.025108,0.025108,0.080346,42,42,0.068602
361,12.033333,-0.002669,0.002669,0.008542,50,50,0.014981
362,12.066667,-0.009093,0.009093,0.029097,43,43,0.043151
363,12.100000,-0.000152,0.000152,0.000488,36,36,0.016884
364,12.133333,-0.000586,0.000586,0.001874,35,35,0.048548
365,12.166667,0.001841,0.001841,0.005890,47,47,0.035335
366,12.200000,0.000612,0.000612,0.001958,43,43,0.013845
367,12.233333,-0.000002,0.000002,0.000005,42,42,0.007603
368,12.266667,-0.003355,0.003355,0.010735,41,41,0.010048
369,12.300000,-0.003746,0.003746,0.011986,40,40,0.007008
370,12.333333,-0.007968,0.007968,0.025497,39,39,0.012542
371,12.366667,-0.001799,0.001799,0.005756,38,38,0.011417
372,12.400000,-0.004369,0.004369,0.013979,50,50,0.035361
373,12.433333,-0.000160,0.000160,0.000511,44,44,0.010526
374,12.466667,-0.000779,0.000779,0.002494,44,44,0.068362
375,12.500000,-0.001331,0.001331,0.004258,40,40,0.008074
376,12.533333,-0.010020,0.010020,0.032063,40,40,0.014596
377,12.566667,-0.000389,0.000389,0.001244,38,38,0.021762
378,12.600000,-0.009544,0.009544,0.030539,38,38,0.014679
379,12.633333,-0.001063,0.001063,0.003402,50,50,0.012258
380,12.666667,-0.008703,0.008703,0.027848,49,49,0.017532
381,12.700000,-0.002866,0.002866,0.009172,47,47,0.012704
382,12.733333,-0.008848,0.008848,0.028312,46,45,0.013956
383,12.766667,-0.001543,0.001543,0.004938,44,43,0.007698
384,12.800000,-0.001978,0.001978,0.006329,44,43,0.014645
